Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.05,0.05,0.05
Albania,MtCO2e,0.37,0.3,0.1,0.1,0.05,0.1,0.1,0.05,0.04,0.05,0.09,FALSE,FALSE,0.29,0.29,0.25,0.26,0.44,0.46,0.55,0.65,0.9,1.1,1.15,1.1,1.25,1.26,1.26,1.26
Algeria,MtCO2e,2.99,2.97,3,2.99,2.82,3.17,3.01,3.27,3.45,3.44,3.79,3.77,4.06,4.03,4.9,5.66,6.54,7,7.58,8.22,8.25,8.19,7.7,7.3,8.36,9.16,9.16,9.16,9.16
Andorra,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angola,MtCO2e,0.11,0.11,0.12,0.1,0.1,0.08,0.11,0.12,0.14,0.08,0.08,0.22,0.24,0.28,0.3,0.52,0.54,0.54,0.68,0.69,0.58,0.57,0.61,0.78,0.97,0.99,0.95,0.95,0.95
Antigua and Barbuda,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Argentina,MtCO2e,1.63,1.53,2.28,2.55,2.83,2.46,2.3,3.09,3.19,3.23,2.75,2.46,1.72,2.27,2.69,3.23,3.77,3.98,3.92,3.73,4.12,4.55,4.18,4.66,4.5,4.34,4.34,4.34,4.34
Armenia,MtCO2e,FALSE,FALSE,0.24,0.12,0.06,0.14,0.17,0.18,0.19,0.18,0.14,0.14,0.21,0.22,0.3,0.33,0.34,0.41,0.41,0.24,0.29,0.26,0.28,0.26,0.24,0.24,0.15,0.15,0.15
Australia,MtCO2e,3.46,3.18,2.92,3,3.48,3.36,3.24,3.19,3.48,3.52,3.62,3.54,3.49,3.58,3.56,3.66,3.89,3.97,3.86,3.83,3.55,3.5,3.52,3.29,3.14,3.08,2.93,3.02,3.02
Austria,MtCO2e,2.03,2,2.1,2.03,2.1,1.63,1.63,1.76,1.6,1.61,1.71,1.72,1.74,1.75,1.79,1.8,1.95,2.13,2.13,1.8,1.62,1.67,1.67,1.66,1.64,1.7,1.73,1.71,1.71
Azerbaijan,MtCO2e,FALSE,FALSE,0.38,0.3,0.24,0.1,0.12,0.18,0.11,0.1,0.12,0.31,0.47,0.54,0.73,0.74,0.78,0.82,0.77,0.62,0.62,0.47,0.66,0.72,0.9,0.82,0.71,0.71,0.71
Bahamas,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bahrain,MtCO2e,0.06,0.06,0.09,0.09,0.09,0.08,0.08,0.07,0.09,0.06,0.03,0.03,0.02,0.05,0.14,0.14,0.14,0.14,0.16,0.25,0.43,0.46,0.47,0.47,0.52,0.52,0.56,0.56,0.56
Bangladesh,MtCO2e,0.1,0.08,0.08,0.07,0.07,0.07,0.15,0.23,0.27,0.43,0.7,0.94,0.88,0.83,0.79,0.75,0.7,0.68,0.7,0.7,0.68,0.69,0.68,0.74,0.75,0.8,0.8,0.8,0.8
Barbados,MtCO2e,0.1,0.1,0.09,0.03,0.04,0.04,0.06,0.09,0.13,0.13,0.13,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.11,0.1,0.1,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Belarus,MtCO2e,FALSE,FALSE,0.92,0.86,0.64,0.57,0.65,0.84,0.93,0.9,0.87,0.83,0.99,1.17,1.3,1.46,1.57,1.63,1.82,1.88,1.97,1.97,2.19,2.38,2.67,2.27,2.2,2.22,2.22
Belgium,MtCO2e,2.82,2.88,3.09,3.08,3.18,3.25,3.01,3.16,3.17,3.11,3.27,2.96,2.99,2.93,2.84,2.93,3.11,3.09,3.03,2.79,2.58,2.76,2.64,2.54,2.64,2.35,2.44,2.29,2.29
Belize,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Benin,MtCO2e,0.12,0.13,0.15,0.21,0.19,0.24,0.15,0.08,0.08,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.59,0.6,0.52,0.51,0.5,0.56,0.53,0.55,0.54,0.7,0.7,0.7,0.7
Bhutan,MtCO2e,FALSE,0.05,0.05,0.04,0.05,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.21,0.2,0.22,0.26,0.3,0.36,0.36,0.36
Bolivia,MtCO2e,0.25,0.27,0.27,0.3,0.34,0.4,0.42,0.47,0.53,0.54,0.48,0.44,0.44,0.5,0.55,0.61,0.69,0.72,0.8,0.91,0.95,1.04,1.06,1.22,1.38,1.43,1.49,1.49,1.49
Bosnia and Herzegovina,MtCO2e,FALSE,FALSE,0.06,0.06,0.1,0.09,0.06,0.08,0.12,0.12,0.24,0.26,0.34,0.32,0.39,0.37,0.45,0.47,0.52,0.39,0.36,0.34,0.32,0.34,0.32,0.31,0.32,0.32,0.32
Botswana,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Brazil,MtCO2e,11.06,11.78,9.77,10.16,10.09,11.53,13.88,15.27,16.18,16.44,16.05,15.23,14.39,13.1,13.27,14.35,15.44,17.2,18.88,19.03,21.29,22.85,25,26.65,26.31,23.77,20.95,19.3,18.93
Brunei,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bulgaria,MtCO2e,2.1,1.24,1.08,1.13,1.41,1.95,1.92,1.54,1.1,1.08,1.19,1.2,1.19,1.25,1.42,1.59,1.52,1.94,1.86,0.98,0.81,0.79,0.98,0.89,0.91,1.1,1.2,1.24,1.24
Burkina Faso,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0.01,0.01,0.01,0.07,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.22,0.23,0.23,0.25,0.23,0.16,0.1,0.12,0.12,0.12
Burundi,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0.03,0.04,0.03,0.04,0.04,0.04,0.04
Cambodia,MtCO2e,FALSE,FALSE,FALSE,FALSE,0.04,0.04,0.08,0.06,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.03,0.29,0.36,0.3,0.34,0.37,0.4,0.53,0.57,0.61,0.61,0.61
Cameroon,MtCO2e,0.26,0.21,0.25,0.25,0.2,0.22,0.12,0.25,0.3,0.35,0.36,0.39,0.37,0.38,0.41,0.4,0.39,0.44,0.38,0.42,0.39,0.44,0.49,0.54,0.5,0.62,1.01,1.01,1.01
Canada,MtCO2e,5.76,4.72,4.76,4.84,5.71,6.46,6.12,6.59,6.76,7.05,7.17,6.95,7.14,7.21,7.51,7.6,7.74,7.75,6.98,5.39,6.04,6.06,6.56,5.98,5.95,6.26,6.19,6.75,6.75
Cape Verde,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Central African Republic,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chad,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,0.07,0.08,0.08,0.08,0.08,0.08
Chile,MtCO2e,0.65,0.96,1.07,1.17,1.16,1.01,0.98,0.96,1.15,0.97,1.03,1.03,1.1,1.13,1.22,1.17,1.26,1.34,1.33,1.1,1.06,1.1,1.15,0.97,0.87,0.84,0.88,0.88,0.88
China,MtCO2e,84.51,101.3,122.4,142.8,164.4,184.6,192.9,202.9,211.4,228.3,244.4,270.8,296.6,345.2,380,411.6,470.1,515,525.9,583.6,639.6,708.6,714.8,748.3,778.6,733.7,756.4,769.3,782
Colombia,MtCO2e,2.72,2.72,2.89,3.32,3.92,3.9,3.73,3.85,3.81,2.88,3.24,3.12,3.1,3.38,3.44,4.13,4.12,4.54,4.44,3.93,4.04,4.59,5.05,4.79,5.28,5.61,5.32,5.32,5.32
Comoros,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cook Islands,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Costa Rica,MtCO2e,0.27,0.3,0.3,0.37,0.4,0.37,0.36,0.4,0.46,0.47,0.45,0.51,0.5,0.47,0.62,0.82,0.57,0.92,0.84,0.83,0.5,0.55,0.54,0.57,0.58,0.62,0.62,0.62,0.62
Croatia,MtCO2e,FALSE,FALSE,0.83,0.69,0.84,0.63,0.69,0.81,0.87,1.13,1.26,1.45,1.43,1.43,1.52,1.55,1.64,1.67,1.57,1.25,1.21,1.09,1.04,1.14,1.23,1.17,1.08,1.29,1.29
Cuba,MtCO2e,1.29,0.86,0.86,0.45,0.46,0.63,0.62,0.73,0.73,0.76,0.7,0.56,0.56,0.56,0.58,0.64,0.69,0.72,0.68,0.64,0.64,0.68,0.71,0.65,0.61,0.59,0.58,0.58,0.58
Cyprus,MtCO2e,0.67,0.63,0.69,0.75,0.78,0.75,0.81,0.78,0.74,0.74,0.76,0.74,0.77,0.75,0.81,0.82,0.82,0.81,0.82,0.67,0.56,0.55,0.5,0.75,0.97,0.88,0.88,0.92,0.92
Czech Republic,MtCO2e,FALSE,FALSE,2.47,2.19,2.21,2,2.12,2.08,2.07,1.96,1.94,1.63,1.4,1.49,1.63,1.63,1.75,2.04,2,1.57,1.47,1.67,1.52,1.33,1.48,1.56,1.7,1.73,1.73
Côte d'Ivoire,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Democratic Republic of the Congo,MtCO2e,0.19,0.1,0.07,0.06,0.07,0.1,0.1,0.05,0.05,0.07,0.07,0.08,0.11,0.13,0.16,0.21,0.2,0.2,0.16,0.18,0.19,0.17,0.16,0.17,0.13,0.15,0.08,0.08,0.08
Denmark,MtCO2e,0.88,1.09,1.19,1.21,1.19,1.2,1.28,1.34,1.39,1.35,1.39,1.39,1.42,1.33,1.46,1.36,1.4,1.41,1.16,0.76,0.67,0.86,0.87,0.87,0.89,0.93,1.09,1.19,1.19
Djibouti,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.06,0.14,0.14,0.14,0.14,0.14
Dominica,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
